PID,GID,Article Name,A1,A1.1,A2,A3,B1,B1.1,B2,B3,MC1,MC2,MC3,MC4,MC A1.1,MC A1.2,MC A1.3,MC A1.4,MC A1.5,MC A1.6,MC A1.7,MC B1.1,MC B1.2,MC B1.3,MC B1.4,MC B1.5,MC B1.6,MC B1.7
1,2,Babylonian mathematics,diverse,(They) branch out into different directions,Y,Friction. Not directly related to gravity to my knowledge.,similar,They seem to focus mostly on certain special forms of gravity,N,-,1,2,2,0,-1,2,1,-2,2,-1,2,1,1,0,0,1,-1,1
1,2,Fire,diverse,They focus on subjects which are not really related to the article,Y,"2, 4, 6, 7, 8 (Accident, Atmosphere of Earth, Flood, Lightning, Earthquake)",similar,They seem to focus on subjects directly related to the article,N,-,1,1,-1,2,-2,-1,2,-2,-1,-2,-1,2,1,-1,1,1,1,1
1,2,Mainau,diverse,They branch out in some different directions,Y,Teutonic order. I don't know of any connection or relation to the article.,similar,Most of them are about people,Y,Prince Gustav (film). I don't see how this recommendation is related to the article's subject,1,1,2,-1,0,1,1,-1,1,0,1,-1,-1,-2,2,0,1,-1
1,2,Albert Einstein,diverse,They feature some related people as well as other kinds of related topics,Y,Sigmund Freud. I don't see any connection,diverse,Same as in A. They feature some related people as well as other kinds of related topics,Y,Pantur Silaban. Never heard this name.,1,2,2,1,1,2,1,-1,2,-1,2,1,1,0,0,1,-1,1
2,1,Babylonian mathematics,diverse,"The terms are about mathematics/astronomy in very different areas, not only the one that the article is about.",Y,Plimpton 322 is a special term while the rest is about mathematics in different parts of the world.,similar,The terms all occur in the article and are closely related.,N,-,0,1,2,0,-1,2,-1,1,1,-1,1,2,-1,-1,1,-1,1,-1
2,1,Fire,diverse,The terms are more general and about different topics,Y,"Earth is not a term, that would come to my mind thinking about fire.",similar,The terms belong to the same topic and could also occur in the articles of those terms.,Y,Gas burner is not a chemical/technical term like the other terms.,1,1,1,-1,0,1,1,-1,2,-1,1,2,-1,-1,1,-1,2,-1
2,1,Mainau,diverse,The terms describe geographic locations/areas of different categories.,Y,"Mainz, since I don't see a connection to the Mainau.",similar,All of the terms are names of persons that are somehow connected to Mainau.,N,-,2,0,1,-2,0,1,1,-1,1,0,1,0,-1,-2,2,-1,1,-1
2,1,Albert Einstein,similar,Set A contains two physicists and three physical terms connected to A. Einstein. Therefore it is not really diverse.,N,-,diverse,It contains different kinds of terms like physical terms and historic terms.,Y,"I don't know the 2 mentioned persons, therefore they are a surprise for me.",1,1,1,-1,0,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1
3,2,Water pollution in India,similar,The articles in approach A talk more about India and specifically about the pollution of the water and the heneral pollution,N,-,diverse,For example World Bank was a recommendation not as close to the topic as is excpeted (for the) recommendations.,Y,"World Bank, because I am not sure how the World Bank is related to the problem",-1,0,0,1,2,1,-1,1,-1,1,1,-1,0,-2,2,2,-1,0
3,2,Basketball,similar,They are all baseketball related,N,-,diverse,"They are all sports related, but not one is basketball related",Y,Cross country running I think is the most unsimilar sport among the recommended ones,1,0,2,-2,2,2,-2,2,-1,2,2,-2,-2,-2,2,-2,1,-2
3,2,Lake Constance,similar,"2 Topics adress the lake directly, the other ones are related to close by locations",Y,Bodanrück - not directly related to the lake,diverse,Related to countries/cities not the lake directly,N,-,1,0,1,-1,1,1,1,-1,1,1,1,-1,0,1,-1,0,1,0
3,2,Hillary Clinton,similar,All recommendations are related directly to Clinton,N,-,diverse,Related to political figures and parties in general,N,-,1,1,2,-1,2,2,1,-1,1,2,2,-1,-1,1,-1,0,1,-1
4,1,Water pollution in India,diverse,It (the recommendation list) seems farther from the core of the problem,Y,World Bank - I didn't make a connection with it,similar,It seemed to lead my thoughts into similar problems,N,-,-2,1,2,2,0,-1,0,0,-1,-1,-1,2,2,1,0,1,1,2
4,1,Basketball,diverse,"It's differetn sports, it leads to brader topics",N,-,similar,The articles go into detail about the subject,N,-,2,2,1,2,-1,-2,2,-2,-2,1,-1,2,2,2,-2,-2,2,2
4,1,Lake Constance,diverse,They are more about general things around thee lake,N,-,similar,They are specifying the topic,N,-,1,1,0,2,-1,-1,1,-1,-1,0,-1,2,2,1,-1,1,1,1
4,1,Hillary Clinton,diverse,"They are about connected People/Institutions, not about tthe topic/object itself",N,-,similar,They go into detial about the topic,Y,Hillary Clinton cattle futures controversy. I neever heard about this.,1,2,1,2,0,1,2,-2,0,0,1,2,2,2,-2,1,1,2
5,2,Transport in Greater Tokyo,similar,"General topics, not so specific ones",Y,Paris,diverse,Aim on more specific topics,Y,natural gas & Honolulu airport,-1,0,1,0,0,0,-1,2,0,-1,-1,-1,-1,-1,1,-1,0,-1
5,2,Mandarin Chinese,similar,-,N,-,diverse,-,Y,Spanish & English,-2,1,1,1,1,1,-1,1,1,0,1,-2,-1,1,-1,0,-2,-1
5,2,Spandau,similar,about other borroughs of Berlin,N,-,diverse,they are about totally different things,Y,English language,-1,-1,-1,1,-1,0,-2,2,-1,1,0,-1,-1,-1,1,-1,-1,-1
5,2,Brad Pitt,uncertain,"similar, because content about Brad Pitt, but diverse because on specific films for example",Y,James Hare,similar,also about actors,Y,Dede Gradne,-1,-1,1,0,0,-1,-1,1,0,-1,0,-2,-1,-1,1,0,0,-1
6,1,Transport in Greater Tokyo,diverse,"I chose diverse because not all of my choices were really much related to the article speically Approach A. Also, I think the names which are written make it feel like they are nott similar to the article",Y,Honolulu airport,similar,I think most of the choices are related to Japan and Tokyo area,N,-,-2,0,1,2,0,1,-1,1,1,-1,0,1,1,-1,1,2,1,1
6,1,Mandarin Chinese,diverse,Most of them are related to other languages,Y,Cantonese because I have no idea what it iis and I haven't read about it in the article,similar,Most of them,N,-,0,2,-2,2,-2,-2,1,-2,0,0,-2,2,1,-1,1,1,1,2
6,1,Spandau,diverse,"The article is talking about Spandau whcih is a part fo Berlin, but the recommended artciles are talking more about Berlin not Spandau",Y,2,similar,"I think #5, #3, #2 are relevant because both 3 & 4 are about Spandau, and #5 is aborders to Spandau",N,-,2,0,2,1,-1,0,0,0,2,1,1,1,1,0,0,0,1,1
6,1,Brad Pitt,diverse,Different people (actors) than the article,N,-,similar,Articles about his (Ex)wife & movies so it's all related to him,N,-,2,1,1,1,1,0,1,-1,2,1,1,2,1,1,-1,1,1,1
7,2,History of United States cricket,similar,The headlines of the recommendation are more similar to the article,Y,"Tioqua Cricket Team, because I haven't rread anything about them in the article",diverse,They are more diverse because the recommendations have a broader variety on the subject of cricket,Y,"History of basketball and of American football, because it is a cricket article but it is also interesting to maybe have a comparisson of the american sports",-2,-1,-1,0,0,1,-1,1,-1,1,-1,-2,1,1,0,1,2,1
7,2,Cancer,similar,They are all about the article 'cancer',N,-,diverse,They reprresent a broader variety of diseases,N,-,0,2,0,1,1,1,1,-1,0,2,1,-1,0,1,0,1,1,0
7,2,Appenzell,similar,"They are all about Appenzell, almost",Y,Vogtei Rheintal because it is the only recommendation in column A without the word Appenzell,diverse,They have little or less to do with the article Appenzell than approach A,Y,"Glares, because I have never heard of it neither read about it in the article",-2,-1,-2,0,1,1,-1,1,-1,2,0,-1,-1,1,-1,0,1,0
7,2,New York City,similar,They are all about the article,N,-,diverse,The articles are of a bigger variety,Y,"London, because at first hand it has nothing to do with the article except that it is an internationally known city",0,1,1,0,2,0,0,-1,1,1,2,0,-1,1,-1,-1,1,0
8,1,History of United States cricket,diverse,(They) take also topics outside the main topic (of the artticle) into account,Y,Bart King,similar,They have more connections to the main topic compared to the article at hand,N,-,-2,-1,-2,0,-1,0,1,1,0,-1,-1,1,1,-1,2,0,0,2
8,1,Cancer,diverse,In the approaches are also diseases included which are not directly linked to the topic,Y,Alzheimer's disease,similar,all are linked directly tot he topic,N,-,2,2,-1,1,-1,-1,2,-2,1,-1,1,1,1,2,-1,1,1,1
8,1,Appenzell,diverse,Approach contains topics whcih have broadly something to do with the article,Y,Glares,similar,It had always to do with Appenzell,Y,Vogtei Rheintal,-2,-1,-1,1,-1,0,1,-1,1,-1,0,1,0,-2,2,0,2,0
8,1,New York City,diverse,They are listing different locations which are not always linked to the article,Y,London,similar,They are all linked directly to NY city,N,-,0,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1
9,2,Firefox for Android,similar,It's all about Firefox (excecpt for the last item? I don't know this guy),Y,Vladimir Vukicevic: I don't know who he is and I didn't seehis name mentioned in the article,diverse,It's not only about Firefox but also more general topics,Y,Sea Monkey. I don't know what it is.,0,-1,-1,-2,1,1,1,-1,-1,2,1,0,1,1,-1,0,0,1
9,2,Vietnam War,similar,They are all about the same topic: Vietnam War,N,-,diverse,"They are not directly about the Vietnam War, but related topics",N,-,-2,0,-2,0,2,1,-2,2,-1,1,1,0,1,0,0,1,0,1
9,2,Michael Müller (politician),similar,They are all about other politicians,N,-,diverse,They are not all about politicians but also more general topics,N,-,-1,-1,-1,-1,0,0,-1,1,0,0,-1,1,2,0,0,0,0,2
9,2,India,similar,I think they touch topics already mentioned in the article,N,-,similar,They are only about subdivisions/ cities in India that are already mentioned in the article,N,-,0,1,2,-1,1,2,1,-1,1,-1,2,2,-1,-1,1,-1,1,-1
10,1,Firefox for Android,diverse,They are more similar because of the related key words,Y,Sea Monkey,similar,They focus more on Mozila Firefox,Y,Vladimir Vukicevic,0,0,-1,0,-1,-1,0,-1,-1,0,0,1,1,1,-1,-1,1,0
10,1,Vietnam War,diverse,It also relates to other wars,N,-,similar,It only relates tot he Vietnam War,N,-,1,2,1,-1,0,1,2,-1,1,0,1,2,0,-1,0,0,2,0
10,1,Michael Müller (politician),similar,They reffer to Berlin and to SPD,N,-,diverse,They refer to more politicians from different backgrounds,Y,Björn Böhming,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,-2,1,-1,0,-1
10,1,India,uncertain,-,N,-,similar,Refers to Indian history and society,N,-,0,1,-2,1,0,-1,-2,2,-1,0,-1,1,1,0,-1,1,1,1
11,2,Chocolate syrup,similar,"They are more focused on chocolate syrup (it is a desert sauce, etc.)",Y,Fox's U-Bet Chocolate Syrup,diverse,"They are sweets in general (ice cream, honey, etc.)",N,-,1,0,2,-1,1,2,0,-2,1,1,1,-1,0,0,-2,0,-1,-1
11,2,Cat,similar,They are describing in more depth aspects / information of cats,N,-,diverse,They are animals in general,Y,Teddy bear (it's not even a real animal),2,1,1,0,2,1,1,-2,0,1,1,-1,-1,1,-2,-1,0,-1
11,2,Olympiastadion (Berlin),similar,They focus on the stadium itslef and surroundings,N,-,similar,They focus on articles that are related to German football,N,-,-1,0,-2,1,0,-1,-1,0,-1,0,-1,0,1,0,-2,0,0,0
11,2,Elon Musk,similar,They really focus on Elan Musk's persona,N,-,similar,They cover articles related to the surroundings of Elon Musk,Y,Stephen Hawking (I don't see the relationship with Elon Musk),2,2,0,2,1,0,1,-2,0,-1,1,1,1,1,-1,1,1,1
12,1,Chocolate syrup,similar,"First of all the title, but also the every day logic, based on experience.",N,-,similar,They all refer to a desert that can be improved with syrup or toppings,Y,"Types of chocolate'', because I find it too general. There are a lot of things made of chocolate and a chocolate syrup is just something too specific (for this recommendation).",-2,-1,1,0,1,0,-2,2,0,-1,1,0,-1,-2,2,-1,0,2
12,1,Cat,diverse,The fact that it (recommends) other animals,N,-,similar,It refers to cats and their (characteristics),Y,"Cats in New Zealand'' because it's a small country, not like USA",0,2,-1,1,0,2,1,-1,-2,1,0,1,0,-2,1,1,1,1
12,1,Olympiastadion (Berlin),similar,They all relate to the things that happened there,Y,'FC Bayern München'' this team is located in the south of Germany,similar,They refer to the same spot in Berlin,N,-,-2,1,1,1,2,1,-1,0,1,2,2,2,1,-1,0,1,2,2
12,1,Elon Musk,similar,They stick to the activitty of E. Musk,N,-,similar,They present the things Musk has done for humanity,N,-,-2,2,0,2,1,0,0,-1,0,1,-1,0,2,-1,1,2,0,2
13,2,Freshwater snail,similar,All recommendations cover either subgroups of freshwater snails or superordinate groups of freshwater snails,N,-,similar,"They are all (an) overview of articles about superordinate topics, e.g. aquatic animals",Y,"Gill, because I would rather associate it with fish than with snails",-2,-1,1,-1,2,2,-2,2,-2,2,2,-1,-2,-1,1,-2,-1,-2
13,2,Earthquake,similar,All cover subtopics of the earthquake article,N,-,diverse,All but one cover different natural catastrophes,N,-,0,2,2,-1,2,2,2,-2,2,2,2,-1,-2,2,-2,-2,2,-2
13,2,Theo Albrecht,similar,All recommendations are relatives of Theo Albrecht,N,-,diverse,The recommendations cover a broader set of topics related to Theo Albrecht,Y,Microsoft - I have no idea how Theo Albrecht relates to Microsoft,1,1,2,2,2,2,2,-2,2,2,2,1,2,2,-2,2,0,2
13,2,Google,similar,All recommendations address Google products,Y,Google Allo - I don't know what it is,similar,All recommendations (but one) are also overview articles about major tech companies,,-,2,2,2,-1,2,2,2,-2,2,2,2,0,2,2,-2,2,2,2
14,1,Freshwater snail,diverse,Similar topics are recommended in Set A. Set B appears to list only different names of snails. So I suppose set A is more diverse compared to set B.,Y,Family (biology) This recommendation seems very broad. Maybe not relevant to only water snails.,similar,Different names of snails / species are listed. But the recommendations are either ''lists of..'' or species names.,Y,Pleuroderidae. Never heard of it. More of the recommendation in Set B are unknown to me compared to Set A.,-1,-1,2,-1,1,2,2,-1,1,-2,2,2,0,-2,2,0,2,-1
14,1,Earthquake,diverse,"The recommended topics are also related to geographic events/ disasters (volcano, flood, tsunami), but are not about earthquakes only.",Y,Tornado. Only distantly related to earthquakes because of it being a natural disaster,similar,All recommendations have the word 'earthquake' in them. Very similar.,Y,Slow'' earthquake. Never heard of these different earthquake types + ''supershear'' earthquake,1,2,1,1,0,1,2,-2,1,-2,2,2,0,-2,2,1,2,0
14,1,Theo Albrecht,diverse,Set A has a broader set of topics ranging from companies to locations and people. Set B mainly recommends people.,Y,Microsoft. Not sure how related?,similar,"They are almost all about people. Only 1 is a location and 2 are companies. If I am interested to know more about the individual people in the family, Set B is better.",Y,Mülheim. This location wasn't named in the Wikipedia article itself.,0,1,2,-1,2,2,2,-2,1,-2,2,2,1,-1,1,0,2,1
14,1,Google,diverse,More diverse because the recommendations are different companies and don't all have ''Google'' in the name.,N,-,similar,All recommendations have the '''Google'' iin the name. So they are all Google services. This is kind of repetitive.,N,-,1,2,2,1,1,2,2,-1,0,-2,2,2,0,2,-2,-2,2,-1
15,2,Touring car racing,uncertain,-,Y,"Laurent Aiello, because I can not relate it to the article",uncertain,-,Y,Group A,-2,-1,2,2,0,0,1,-1,0,0,1,0,0,1,-1,1,0,0
15,2,Submarine,similar,"Because of the word ""Submarine""",N,-,diverse,Wider range of proposals,Y,Diesel-electric transmission,-2,0,2,1,2,2,-2,2,0,1,1,1,1,1,-1,1,0,1
15,2,ARD (broadcaster),uncertain,-,Y,History of Südwestrundfunk,diverse,Because ir recommends other TV broadcaster and radio broadcast,N,-,2,1,-2,2,-2,-2,-2,2,-1,1,-2,2,1,2,-2,1,0,1
15,2,Star Wars,similar,Closer around the topic,N,-,diverse,"Because it relates to other similar films ""Star Trek""",N,-,-1,-1,2,2,2,1,-2,2,1,1,1,2,2,1,-1,2,0,1
16,1,Touring car racing,similar,The recommended article exploring other similar articles and also famous races and brands which are appearing in these races /courses,Y,"Bathurst 100, because my personal feeling has no .. To this name / word",similar,Mostly different tournaments are named which makes search for further articles easier,N,-,0,-2,-1,1,1,-1,1,-1,-2,-2,-1,2,0,-2,2,-1,2,0
16,1,Submarine,diverse,"More diverse because of technique parts, history parts and other coutry parts",Y,"Destroyer, it does not fit to the other recommendations",similar,It just explains the different submarine classes and just one article about the history,N,-,0,2,2,1,2,2,1,0,2,-2,2,1,0,-2,2,0,2,-2
16,1,ARD (broadcaster),diverse,Different broadcaster and also Germany as the country of broadcasting and total different boradcaster,N,-,similar,Mostly the same names (Rundfunk) appears in all names,N,-,1,1,-1,-1,1,0,2,-2,0,-1,1,1,0,-1,1,0,1,0
16,1,Star Wars,diverse,The list contains more different words and contents,N,-,similar,"The word ""Star wars"" appears in all recommendations",N,-,0,-2,-1,0,1,-1,1,-1,-1,-1,0,1,0,-1,1,-2,1,-1
17,2,Mudflat,similar,Similar topics are included,N,-,similar,Same topic appears in recommendations,Y,Estuary: No idea what it means,-2,-1,-1,0,1,1,-2,2,0,1,0,2,1,-1,1,0,1,1
17,2,Rock music,similar,All articles are about rock,N,-,diverse,It's a broader overview of different styles of music,N,-,0,0,1,0,2,2,-1,1,0,1,0,-1,0,1,-1,0,-1,0
17,2,Kaufland,similar,Stays more on the topic of the article,N,-,diverse,Because it includes a broader range of companys,N,-,1,0,1,1,2,1,0,0,1,0,1,-1,1,0,0,1,0,1
17,2,AC/DC,similar,"Appear more similar, because they stay on the subject AC/DC",N,-,diverse,More diverse because they are about different bands or musicians,N,-,0,-1,-1,1,1,0,-1,1,0,1,0,-1,0,-1,1,0,1,0
18,1,Mudflat,similar,"Same topic, mentioned in article",Y,Estuary,diverse,more certain location rather than being about th topic,N,-,-2,0,1,-1,2,1,-2,2,1,2,1,-1,0,-2,2,1,-1,-1
18,1,Rock music,similar,They are all different kinds of rock music,N,-,diverse,Rock music in certain places and a list of rock genres are a diverse choice,Y,List of rock generes,0,0,0,1,2,1,0,0,-1,2,1,1,0,-2,2,1,0,0
18,1,Kaufland,similar,they are all supermarket brands,N,-,diverse,"more diverse because not only brands, but also chains, groups",N,-,1,0,-1,1,1,0,1,-1,0,2,1,1,1,0,0,1,-1,1
18,1,AC/DC,similar,"different rock bands and genre, plus a band member",Y,Hard rock,similar,"about the band but about songs, albums, band members",N,-,0,0,1,-1,1,0,0,0,0,1,0,1,0,-1,1,0,1,0
19,2,Philosophy of healthcare,diverse,"The article at hand seems to have a more theoretical, fundamental approach to the topic, while the approach a seems to at more practical contemporary topics",Y,Healthcare in Singapore,similar,"They all start with ""Philosophy"" which is the dominant word in the article at hand",N,,-2,-2,0,-2,-2,-1,-2,2,1,1,1,1,0,-2,2,-2,-1,-2
19,2,Wind power,diverse,They focus on the location/country and not on renewable energy itself,Y,Wind Power in Belgium,similar,They are all about renewable energy,N,-,-1,-2,-1,-1,-2,-2,-2,2,0,1,0,-1,0,-2,2,0,2,0
19,2,Sylt Air,diverse,"It's different airlines, which seem to have nothing in common with Sylt air",Y,all,similar,Hamburg and Sylt airports are the only ones being served by Sylt Air,Yes,Lufthansa City Line,-2,-2,-2,0,0,-1,-2,2,-2,1,-2,1,1,-2,2,0,-1,1
19,2,FIFA World Cup,diverse,The articles are not consistent. Different sports (volleyball),Y,Fifa Beach Soccer,similar,They are mostly about the post world cups and the Fifa,N,,0,0,1,1,-1,0,1,-1,0,-1,-1,1,1,1,-1,1,2,2
20,1,Philosophy of healthcare,similar,Content prediction / expectation,N,-,diverse,"Scope, more business related content prediction / expectation",Y,Taiwan + Singapore + reform US: concerte examples rather than broad Philosophy approach,1,0,1,0,2,1,1,-2,1,0,1,0,0,1,-2,1,1,0
20,1,Wind power,diverse,"Focus on environmental + ecological energy sources, gives overview, reader gets ida on wind power + possible ""clean"" alternatives",N,-,similar,"Gives insight into wind power in different countrs, detailed information on the topic by using practical examples of wind power in different countrs",N,-,2,1,1,1,-1,1,1,-2,2,1,1,2,1,0,-2,2,2,1
20,1,Sylt Air,diverse,Unclear focus of the recommendations (Airline != Airport),Y,Airport Sylt / Airport HH,similar,Focus on smaller aviation operators besides Sylt Air,N,-,0,0,1,2,0,0,1,-2,1,-1,0,2,2,1,-2,2,2,1
20,1,FIFA World Cup,diverse,Focus on all major championships within a rather global perspective,Y,Association Football - not a tournament,similar,All Fifa related cups,N,-,1,0,1,1,0,1,1,-2,1,0,1,2,2,1,-2,1,2,1